Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Accrual Date
AAPL,APPLE INC,Information Technology,Equity,"33,711,119,642.20",6.89,"33,711,119,642.20","155,000,780.00",217.49,United States,NASDAQ,USD,1.00,--
MSFT,MICROSOFT CORP,Information Technology,Equity,"33,439,844,286.40",6.84,"33,439,844,286.40","79,923,146.00",418.40,United States,NASDAQ,USD,1.00,--
NVDA,NVIDIA CORP,Information Technology,Equity,"29,700,030,738.56",6.07,"29,700,030,738.56","264,517,552.00",112.28,United States,NASDAQ,USD,1.00,--
AMZN,AMAZON COM INC,Consumer Discretionary,Equity,"17,711,374,771.20",3.62,"17,711,374,771.20","98,478,592.00",179.85,United States,NASDAQ,USD,1.00,--
META,META PLATFORMS INC CLASS A,Communication,Equity,"10,684,890,484.66",2.19,"10,684,890,484.66","23,565,626.00",453.41,United States,NASDAQ,USD,1.00,--
GOOGL,ALPHABET INC CLASS A,Communication,Equity,"10,566,364,485.36",2.16,"10,566,364,485.36","63,165,737.00",167.28,United States,NASDAQ,USD,1.00,--
GOOG,ALPHABET INC CLASS C,Communication,Equity,"8,889,349,034.52",1.82,"8,889,349,034.52","52,549,947.00",169.16,United States,NASDAQ,USD,1.00,--
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Financials,Equity,"8,435,108,604.78",1.73,"8,435,108,604.78","19,467,582.00",433.29,United States,New York Stock Exchange Inc.,USD,1.00,--
LLY,ELI LILLY,Health Care,Equity,"7,049,838,136.95",1.44,"7,049,838,136.95","8,584,905.00",821.19,United States,New York Stock Exchange Inc.,USD,1.00,--
AVGO,BROADCOM INC,Information Technology,Equity,"6,991,821,106.84",1.43,"6,991,821,106.84","46,843,234.00",149.26,United States,NASDAQ,USD,1.00,--
TSLA,TESLA INC,Consumer Discretionary,Equity,"6,571,501,018.50",1.34,"6,571,501,018.50","29,836,554.00",220.25,United States,NASDAQ,USD,1.00,--
JPM,JPMORGAN CHASE & CO,Financials,Equity,"6,443,821,206.13",1.32,"6,443,821,206.13","30,880,439.00",208.67,United States,New York Stock Exchange Inc.,USD,1.00,--
XOM,EXXON MOBIL CORP,Energy,Equity,"5,664,723,267.07",1.16,"5,664,723,267.07","48,239,149.00",117.43,United States,New York Stock Exchange Inc.,USD,1.00,--
UNH,UNITEDHEALTH GROUP INC,Health Care,Equity,"5,539,390,824.00",1.13,"5,539,390,824.00","9,897,425.00",559.68,United States,New York Stock Exchange Inc.,USD,1.00,--
V,VISA INC CLASS A,Financials,Equity,"4,295,228,508.24",0.88,"4,295,228,508.24","16,927,676.00",253.74,United States,New York Stock Exchange Inc.,USD,1.00,--
PG,PROCTER & GAMBLE,Consumer Staples,Equity,"4,235,838,550.00",0.87,"4,235,838,550.00","25,379,500.00",166.90,United States,New York Stock Exchange Inc.,USD,1.00,--
JNJ,JOHNSON & JOHNSON,Health Care,Equity,"4,131,499,642.92",0.85,"4,131,499,642.92","25,880,103.00",159.64,United States,New York Stock Exchange Inc.,USD,1.00,--
COST,COSTCO WHOLESALE CORP,Consumer Staples,Equity,"3,891,454,850.40",0.80,"3,891,454,850.40","4,769,232.00",815.95,United States,NASDAQ,USD,1.00,--
MA,MASTERCARD INC CLASS A,Financials,Equity,"3,792,816,823.20",0.78,"3,792,816,823.20","8,828,717.00",429.60,United States,New York Stock Exchange Inc.,USD,1.00,--
HD,HOME DEPOT INC,Consumer Discretionary,Equity,"3,765,047,565.58",0.77,"3,765,047,565.58","10,657,102.00",353.29,United States,New York Stock Exchange Inc.,USD,1.00,--
ABBV,ABBVIE INC,Health Care,Equity,"3,459,273,858.54",0.71,"3,459,273,858.54","18,989,262.00",182.17,United States,New York Stock Exchange Inc.,USD,1.00,--
MRK,MERCK & CO INC,Health Care,Equity,"3,427,968,874.65",0.70,"3,427,968,874.65","27,238,529.00",125.85,United States,New York Stock Exchange Inc.,USD,1.00,--
WMT,WALMART INC,Consumer Staples,Equity,"3,216,404,130.12",0.66,"3,216,404,130.12","45,935,506.00",70.02,United States,New York Stock Exchange Inc.,USD,1.00,--
BAC,BANK OF AMERICA CORP,Financials,Equity,"3,049,463,141.04",0.62,"3,049,463,141.04","73,163,703.00",41.68,United States,New York Stock Exchange Inc.,USD,1.00,--
NFLX,NETFLIX INC,Communication,Equity,"2,938,088,987.68",0.60,"2,938,088,987.68","4,633,552.00",634.09,United States,NASDAQ,USD,1.00,--
CVX,CHEVRON CORP,Energy,Equity,"2,903,622,890.80",0.59,"2,903,622,890.80","18,431,020.00",157.54,United States,New York Stock Exchange Inc.,USD,1.00,--
KO,COCA-COLA,Consumer Staples,Equity,"2,754,646,995.92",0.56,"2,754,646,995.92","41,692,856.00",66.07,United States,New York Stock Exchange Inc.,USD,1.00,--
CRM,SALESFORCE INC,Information Technology,Equity,"2,679,179,018.56",0.55,"2,679,179,018.56","10,444,328.00",256.52,United States,New York Stock Exchange Inc.,USD,1.00,--
ADBE,ADOBE INC,Information Technology,Equity,"2,563,727,879.85",0.52,"2,563,727,879.85","4,817,679.00",532.15,United States,NASDAQ,USD,1.00,--
PEP,PEPSICO INC,Consumer Staples,Equity,"2,528,306,492.78",0.52,"2,528,306,492.78","14,783,689.00",171.02,United States,NASDAQ,USD,1.00,--
TMO,THERMO FISHER SCIENTIFIC INC,Health Care,Equity,"2,440,259,607.00",0.50,"2,440,259,607.00","4,104,726.00",594.50,United States,New York Stock Exchange Inc.,USD,1.00,--
AMD,ADVANCED MICRO DEVICES INC,Information Technology,Equity,"2,404,145,037.84",0.49,"2,404,145,037.84","17,381,037.00",138.32,United States,NASDAQ,USD,1.00,--
ORCL,ORACLE CORP,Information Technology,Equity,"2,362,597,128.78",0.48,"2,362,597,128.78","17,142,629.00",137.82,United States,New York Stock Exchange Inc.,USD,1.00,--
LIN,LINDE PLC,Materials,Equity,"2,290,175,358.38",0.47,"2,290,175,358.38","5,169,346.00",443.03,United States,NASDAQ,USD,1.00,--
WFC,WELLS FARGO,Financials,Equity,"2,238,158,970.00",0.46,"2,238,158,970.00","37,490,100.00",59.70,United States,New York Stock Exchange Inc.,USD,1.00,--
ACN,ACCENTURE PLC CLASS A,Information Technology,Equity,"2,231,933,067.00",0.46,"2,231,933,067.00","6,760,975.00",330.12,United States,New York Stock Exchange Inc.,USD,1.00,--
QCOM,QUALCOMM INC,Information Technology,Equity,"2,108,589,267.71",0.43,"2,108,589,267.71","12,022,289.00",175.39,United States,NASDAQ,USD,1.00,--
CSCO,CISCO SYSTEMS INC,Information Technology,Equity,"2,056,968,580.08",0.42,"2,056,968,580.08","43,542,942.00",47.24,United States,NASDAQ,USD,1.00,--
ABT,ABBOTT LABORATORIES,Health Care,Equity,"1,982,197,534.56",0.41,"1,982,197,534.56","18,707,036.00",105.96,United States,New York Stock Exchange Inc.,USD,1.00,--
MCD,MCDONALDS CORP,Consumer Discretionary,Equity,"1,948,783,567.50",0.40,"1,948,783,567.50","7,749,875.00",251.46,United States,New York Stock Exchange Inc.,USD,1.00,--
GE,GE AEROSPACE,Industrials,Equity,"1,938,282,651.03",0.40,"1,938,282,651.03","11,770,709.00",164.67,United States,New York Stock Exchange Inc.,USD,1.00,--
TXN,TEXAS INSTRUMENT INC,Information Technology,Equity,"1,930,276,132.15",0.39,"1,930,276,132.15","9,790,901.00",197.15,United States,NASDAQ,USD,1.00,--
AMGN,AMGEN INC,Health Care,Equity,"1,928,399,521.00",0.39,"1,928,399,521.00","5,768,470.00",334.30,United States,NASDAQ,USD,1.00,--
DHR,DANAHER CORP,Health Care,Equity,"1,914,593,465.16",0.39,"1,914,593,465.16","7,088,724.00",270.09,United States,New York Stock Exchange Inc.,USD,1.00,--
IBM,INTERNATIONAL BUSINESS MACHINES CO,Information Technology,Equity,"1,896,432,386.38",0.39,"1,896,432,386.38","9,878,281.00",191.98,United States,New York Stock Exchange Inc.,USD,1.00,--
PM,PHILIP MORRIS INTERNATIONAL INC,Consumer Staples,Equity,"1,892,348,325.60",0.39,"1,892,348,325.60","16,716,858.00",113.20,United States,New York Stock Exchange Inc.,USD,1.00,--
INTU,INTUIT INC,Information Technology,Equity,"1,885,765,593.12",0.39,"1,885,765,593.12","3,010,866.00",626.32,United States,NASDAQ,USD,1.00,--
PFE,PFIZER INC,Health Care,Equity,"1,839,034,053.96",0.38,"1,839,034,053.96","60,935,522.00",30.18,United States,New York Stock Exchange Inc.,USD,1.00,--
NOW,SERVICENOW INC,Information Technology,Equity,"1,827,037,718.56",0.37,"1,827,037,718.56","2,204,464.00",828.79,United States,New York Stock Exchange Inc.,USD,1.00,--
CAT,CATERPILLAR INC,Industrials,Equity,"1,810,677,143.00",0.37,"1,810,677,143.00","5,259,010.00",344.30,United States,New York Stock Exchange Inc.,USD,1.00,--
VZ,VERIZON COMMUNICATIONS INC,Communication,Equity,"1,808,302,832.45",0.37,"1,808,302,832.45","45,264,151.00",39.95,United States,New York Stock Exchange Inc.,USD,1.00,--
AMAT,APPLIED MATERIAL INC,Information Technology,Equity,"1,807,706,742.48",0.37,"1,807,706,742.48","8,934,889.00",202.32,United States,NASDAQ,USD,1.00,--
DIS,WALT DISNEY,Communication,Equity,"1,748,880,422.85",0.36,"1,748,880,422.85","19,604,085.00",89.21,United States,New York Stock Exchange Inc.,USD,1.00,--
